Resource ID,Dataset Name,Description,Dataset URL,Attribution,Dataset Type,Update Frequency,Department Name,Program Name,Spatial Information,Strategic Area,Dataset Updated Date,Dataset Created Date,Metadata Last Updated Date,Data Last Updated Date,Publication Date,Download Count,Page Views Last Week,Page Views Last Month,Page Views Total,Row Count,Cover Image URL,Automation Method,Automation Method Other,Owner Display Name,Tags,Is Public
b375-n8jt,South Pleasant Valley Road,TPW is now moving forward with planned multimodal improvements along South Pleasant Valley Road between Onion Creek Park and St. Elmo Road,https://data.austintexas.gov/d/b375-n8jt,"City of Austin, Texas - data.austintexas.gov",story,As Needed,Transportation and Public Works,,,,04/08/2025 10:22:37 AM,11/12/2019 04:30:45 PM,04/08/2025 11:29:29 AM,04/08/2025 10:22:37 AM,11/12/2019 04:33:11 PM,0,6,16,"8,924",,,,,TPW PIO Data Owners (Transportation Public Works),,true
qqum-8r4v,Menchaca Road Corridor,Landing page for the Menchaca Road Corridor mobility project,https://data.austintexas.gov/d/qqum-8r4v,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,03/27/2025 02:07:11 PM,09/27/2017 01:38:29 PM,04/08/2025 11:29:31 AM,03/27/2025 02:07:11 PM,09/27/2017 01:38:30 PM,0,2,4,"11,509",,,,,TPW Legacy CPO (Transportation Public Works),,true
xu6d-ajjz,BSW Corridors,"Landing page for the development of Mobility Plans for Slaughter Lane, William Cannon Drive, and Brodie Lane.",https://data.austintexas.gov/d/xu6d-ajjz,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,12/08/2017 02:27:10 PM,10/28/2017 07:39:20 AM,04/08/2025 11:29:32 AM,12/08/2017 02:27:10 PM,10/28/2017 07:39:20 AM,0,1,3,"13,587",,,,,TPW Legacy CPO (Transportation Public Works),,true
ptz4-rru2,Bergstrom Spur Trail Network,"The MoKan Trail urban trail will follow a short section of the former Missouri-Kansas-Texas (MoKan) Railroad in east Austin. Once complete, the 1.5-mile trail will connect an existing protected bike path on Pedernales Street to the Southern Walnut Creek Trail system.",https://data.austintexas.gov/d/ptz4-rru2,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,Urban Trails,,Mobility,02/05/2025 01:44:03 PM,11/10/2021 02:55:37 PM,04/08/2025 11:29:34 AM,02/05/2025 01:44:03 PM,11/10/2021 06:20:26 PM,0,1,6,378,,,,,TPW PIO Data Owners (Transportation Public Works),"trail, urban trails",true
ypbq-i42h,Real-Time Road Conditions,"Austin Transportation & Public Works maintains road condition sensors across the city which monitor the temperature and surface condition of roadways. These sensors enable our Mobility Management Center to stay apprised of potential roadway freezing events and intervene when necessary.

This data is updated continuously every 5 minutes.

See also, the data descriptions from the sensor's instruction manual:

https://github.com/cityofaustin/atd-road-conditions/blob/production/5433-3X-manual.pdf",https://data.austintexas.gov/d/ypbq-i42h,"City of Austin, Texas - data.austintexas.gov",dataset,Multiple per day,Transportation and Public Works,Arterial Management Division,,,04/11/2025 03:55:15 AM,01/05/2021 02:09:43 PM,04/08/2025 11:29:36 AM,04/11/2025 03:55:15 AM,05/31/2024 02:17:01 PM,57,1,7,283,"5,155,856",,REST API,,transportation.data@austintexas.gov,,true
d6q5-d67m,Country Club Creek Trail,"Austin Public Works’ Urban Trails Program is currently developing the Country Club Creek Trail, which is located in southeast Austin. Once complete, Country Club Creek Trail will be 3.5 miles long and link Mable Davis Park, home to Austin’s first public skate park, to Roy G. Guerrero Metro Park, located on the east side of Lady Bird Lake.",https://data.austintexas.gov/d/d6q5-d67m,"City of Austin, Texas - data.austintexas.gov",story,Quarterly,Transportation and Public Works,Urban Trails,,Mobility,10/08/2024 11:27:32 AM,04/10/2019 05:08:33 PM,04/08/2025 11:29:38 AM,10/08/2024 11:27:32 AM,04/16/2019 08:30:06 PM,0,1,4,"6,720",,,,,TPW Legacy CPO (Transportation Public Works),"trail, urban trail",true
6vmu-6wzb,North University-Heritage-Rosedale Bikeways,"Austin Transportation and Public Works (TPW) is evaluating streets in Central Austin neighborhoods as a potential neighborhood bikeway route. This bikeway would help connect the All Ages and Abilities Bicycle Network between W. 41st St, Shoal Creek Blvd, W. 29th St, and Speedway",https://data.austintexas.gov/d/6vmu-6wzb,"City of Austin, Texas - data.austintexas.gov",story,As Needed,Transportation and Public Works,,,,04/08/2025 05:03:58 PM,01/02/2020 10:27:01 AM,04/08/2025 11:29:39 AM,04/08/2025 05:03:58 PM,01/02/2020 10:29:09 AM,0,3,6,"6,901",,,,,TPW PIO Data Owners (Transportation Public Works),,true
66ck-2scm,Stassney Lane,This is the landing page for the Mobility Bonds improvements to Stassney Lane from West Gate Boulevard to South Congress Avenue  to enhance the safety and mobility of everyone who uses these streets,https://data.austintexas.gov/d/66ck-2scm,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,08/12/2024 12:32:17 PM,10/29/2019 11:13:47 AM,04/08/2025 11:29:41 AM,08/12/2024 12:32:17 PM,10/29/2019 11:15:36 AM,0,1,2,"8,178",,,,,TPW Legacy CPO (Transportation Public Works),,true
ydja-xwah,Ross Road Substandard Street Project,The City of Austin will reconstruct Ross Road to a five-lane cross-section roadway (two thru lanes in each direction plus a two-way left turn lane and/or median) with pedestrian and bicycle facilities along the corridor as part of the 2020 Mobility Bond. The City of Austin Ross Road project is located between SH-71 and Pearce Lane.,https://data.austintexas.gov/d/ydja-xwah,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,04/01/2025 09:46:19 AM,01/18/2018 01:37:09 PM,04/08/2025 11:29:43 AM,04/01/2025 09:46:19 AM,01/18/2018 01:37:09 PM,0,1,5,"6,724",,,,,TPW PIO Data Owners (Transportation Public Works),,true
vhxq-kae4,South Pleasant Valley Road Corridor,The landing page for the South Pleasant Valley Road Corridor mobility project,https://data.austintexas.gov/d/vhxq-kae4,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,03/27/2025 02:05:26 PM,12/07/2017 04:40:40 PM,04/08/2025 11:29:45 AM,03/27/2025 02:05:26 PM,12/07/2017 04:40:40 PM,0,2,6,"8,704",,,,,TPW Legacy CPO (Transportation Public Works),,true
9h7i-xcr8,MoKan Trail,"The MoKan Trail urban trail will follow a short section of the former Missouri-Kansas-Texas (MoKan) Railroad in east Austin. Once complete, the 1.5-mile trail will connect an existing protected bike path on Pedernales Street to the Southern Walnut Creek Trail system.",https://data.austintexas.gov/d/9h7i-xcr8,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,02/04/2025 09:57:58 AM,06/22/2022 03:41:22 PM,04/08/2025 11:29:46 AM,02/04/2025 09:57:58 AM,06/27/2022 10:35:54 AM,0,1,6,140,,,,,TPW PIO Data Owners (Transportation Public Works),,true
yc6i-n962,Austin Mobility Bond Programs,This is the landing page for Austin Mobility Bond Programs,https://data.austintexas.gov/d/yc6i-n962,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,11/19/2024 12:44:52 PM,03/16/2021 04:12:19 PM,04/08/2025 11:29:48 AM,11/19/2024 12:44:52 PM,04/22/2021 02:24:32 PM,0,1,4,182,,,,,TPW Legacy CPO (Transportation Public Works),,true
5fi6-ptzk,Longhorn Dam Multimodal Improvements,"The City of Austin is developing a new pedestrian and bicycle bridge over Lady Bird Lake, near Longhorn Dam.",https://data.austintexas.gov/d/5fi6-ptzk,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,Urban Trails,,Mobility,07/10/2024 11:27:39 AM,09/20/2021 02:48:36 PM,04/08/2025 11:29:49 AM,07/10/2024 11:27:39 AM,09/28/2021 01:12:15 PM,0,2,12,603,,,,,TPW Legacy Public Works Assets,,true
y2wy-tgr5,Austin Crash Report Data - Crash Level Records,"This dataset contains traffic crash records for crashes which have occurred in Austin, TX in the last ten years. It is one of two datasets which power our Vision Zero Viewer dashboard, available here: https://visionzero.austin.gov/viewer.

Crash data may take several weeks to be submitted, reviewed, and finalized for inclusion in this dataset. To provide the most accurate information as possible, we only provide crash data as recent as two weeks old. Please also note that some crash records may take even longer to appear in this dataset, depending on the circumstances of the crash and the ensuing law enforcement investigation.

Crash data is obtained from the Texas Department of Transportation (TxDOT) Crash Record Information System (CRIS) database, which is populated by reports submitted by Texas Peace Officers throughout the state, including Austin Police Department (APD).

The data and information on this website is for informational purposes only. While we seek to provide accurate information, please note that errors may be present and information presented may not be complete.",https://data.austintexas.gov/d/y2wy-tgr5,"City of Austin, Texas - data.austintexas.gov",dataset,Daily,Transportation and Public Works,Vision Zero,,,04/11/2025 04:00:26 AM,07/30/2019 04:17:53 PM,04/08/2025 11:29:52 AM,04/11/2025 04:00:26 AM,01/28/2025 09:40:18 AM,504,4,28,"1,434","2,000",,REST API,,transportation.data@austintexas.gov,"crash, vision zero",true
wuem-xp87,Martin Luther King Jr. Blvd./FM 969 Corridors,Landing page for the Martin Luther King Jr. Blvd./FM 969 Corridors mobility project,https://data.austintexas.gov/d/wuem-xp87,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,03/27/2025 02:38:03 PM,12/08/2017 12:08:40 PM,04/08/2025 11:29:51 AM,03/27/2025 02:38:03 PM,12/08/2017 12:08:40 PM,0,2,5,"8,560",,,,,TPW Legacy CPO (Transportation Public Works),,true
vd82-y4mp,Cherrywood Neighborhood Bikeways,"Austin Transportation and Public Works is making changes on Wilshire Boulevard, Cherrywood Road, and Schieffer Avenue as part of a neighborhood bikeway project. This bikeway will help connect the All Ages and Abilities Bicycle Network between IH-35, Airport Blvd, and E 38th ½ St.",https://data.austintexas.gov/d/vd82-y4mp,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,02/14/2023 01:48:56 PM,07/19/2019 01:58:39 PM,04/08/2025 11:29:54 AM,02/14/2023 01:48:56 PM,07/19/2019 03:06:27 PM,0,1,3,"7,936",,,,,TPW PIO Data Owners (Transportation Public Works),,true
p53x-x73x,Traffic Signals and Pedestrian Signals,"This data contains information about traffic and pedestrian signals in the city of Austin, Texas. The data is updated on a daily basis and maintained by the Austin Transportation & Public Works Department's Arterial Management Division.

You may also be interested in the following resources: 

* Traffic Signal Monitor
https://data.mobility.austin.gov/signal-monitor

* Signal Evaluations
https://data.mobility.austin.gov/signal-evaluations",https://data.austintexas.gov/d/p53x-x73x,"City of Austin, Texas - data.austintexas.gov",dataset,Daily,Transportation and Public Works,Arterial Management Division,,,04/11/2025 12:05:30 AM,11/19/2016 03:55:06 PM,04/08/2025 11:29:56 AM,04/11/2025 12:05:30 AM,01/11/2024 01:43:04 PM,"2,304",5,9,"5,317","1,301",,REST API,,transportation.data@austintexas.gov,"atms, mobility, pedestrians, phbs, safety, traffic signals, transit, transportation",true
9gzd-23hf,Regional Mobility Program,Landing page for the 2016 Mobility Bond Regional Program.,https://data.austintexas.gov/d/9gzd-23hf,"City of Austin, Texas - data.austintexas.gov",story,As needed,Transportation and Public Works,,,,11/13/2024 07:47:20 AM,06/07/2017 04:24:22 PM,04/08/2025 11:29:57 AM,11/13/2024 07:47:20 AM,06/07/2017 04:24:22 PM,0,1,4,"7,568",,,,,TPW Legacy CPO (Transportation Public Works),,true
i626-g7ub,Radar Traffic Counts,"Disclaimer: This is a historical dataset (12/16/2017-9/9/2021) that is no longer being updated after September 9, 2021. The Wavetronix radar sensors are being phased out and may not be reporting new data as of 2021.

Traffic count and speed data collected from the several Wavetronix radar sensors deployed by the City of Austin.

The Travel Sensor dataset ( https://data.austintexas.gov/Transportation-and-Mobility/Travel-Sensors/6yd9-yz29 ) is related to this dataset using the 'KITS ID' field. The Travel Sensors dataset provides more information on sensor location and status.",https://data.austintexas.gov/d/i626-g7ub,"City of Austin, Texas - data.austintexas.gov",dataset,As needed,Transportation and Public Works,Arterial Management Division,,,04/08/2025 11:29:59 AM,11/06/2017 03:53:08 PM,04/08/2025 11:29:59 AM,09/09/2021 07:30:07 AM,12/16/2017 07:44:24 PM,"6,311",4,13,"4,531","6,834,237",,Manual,,transportation.data@austintexas.gov,,true
